Price,Close,High,Low,Open,Volume,MA20,MA50,Daily_Return,Volatility_20d,RSI_14,BB_Upper,BB_Lower,BB_Width,Trend_Signal
Ticker,ADP.PA,ADP.PA,ADP.PA,ADP.PA,ADP.PA,,,,,,,,,
Date,,,,,,,,,,,,,,
2025-11-18,119.0999984741211,121.0,118.30000305175781,120.80000305175781,73467,,,,,,,,,NEUTRE ➡️
2025-11-19,120.30000305175781,121.0999984741211,117.4000015258789,119.0999984741211,51982,,,0.010075605314952663,,,,,,NEUTRE ➡️
2025-11-20,120.0,121.19999694824219,117.9000015258789,120.80000305175781,67251,,,-0.002493790890668035,,,,,,NEUTRE ➡️
2025-11-21,120.5,121.69999694824219,118.69999694824219,119.69999694824219,78076,,,0.004166666666666652,,,,,,NEUTRE ➡️
2025-11-24,122.0999984741211,122.5999984741211,120.5,121.0,99863,,,0.01327799563585974,,,,,,NEUTRE ➡️
2025-11-25,123.4000015258789,124.30000305175781,121.0,122.0999984741211,51201,,,0.010647035773987623,,,,,,NEUTRE ➡️
2025-11-26,125.30000305175781,125.30000305175781,123.0,123.80000305175781,69456,,,0.01539709483294005,,,,,,NEUTRE ➡️
2025-11-27,127.0999984741211,127.0999984741211,125.19999694824219,125.4000015258789,43351,,,0.014365485862117389,,,,,,NEUTRE ➡️
2025-11-28,126.30000305175781,127.30000305175781,126.0999984741211,127.30000305175781,57944,,,-0.00629422055049178,,,,,,NEUTRE ➡️
2025-12-01,126.80000305175781,127.19999694824219,125.5999984741211,126.9000015258789,63257,,,0.003958828091200406,,,,,,NEUTRE ➡️
2025-12-02,125.5999984741211,127.5,125.5999984741211,126.80000305175781,72920,,,-0.009463758270943368,,,,,,NEUTRE ➡️
2025-12-03,124.5999984741211,125.5,122.5,122.80000305175781,55409,,,-0.007961783536215905,,,,,,NEUTRE ➡️
2025-12-04,123.30000305175781,124.80000305175781,123.0999984741211,124.5999984741211,44497,,,-0.010433350226992877,,,,,,NEUTRE ➡️
2025-12-05,123.19999694824219,123.9000015258789,122.5,123.30000305175781,47679,,,-0.0008110794893787521,,,,,,NEUTRE ➡️
2025-12-08,123.4000015258789,124.0,122.69999694824219,122.69999694824219,39658,,,0.001623413819731967,,65.69342781151292,,,,NEUTRE ➡️
2025-12-09,123.4000015258789,124.0999984741211,122.9000015258789,123.5,60417,,,0.0,,62.399986328133345,,,,NEUTRE ➡️
2025-12-10,125.4000015258789,126.19999694824219,122.69999694824219,123.4000015258789,100572,,,0.016207455229087397,,69.01408375030826,,,,NEUTRE ➡️
2025-12-11,130.1999969482422,130.3000030517578,125.69999694824219,127.19999694824219,175178,,,0.03827747499167855,,76.21620796822214,,,,NEUTRE ➡️
2025-12-12,131.8000030517578,133.89999389648438,130.6999969482422,130.6999969482422,110451,,,0.012288833648373076,,76.21621777664689,,,,NEUTRE ➡️
2025-12-15,131.0,131.1999969482422,127.80000305175781,128.89999389648438,87932,124.64000053405762,,-0.006069825745327551,,71.11109792450887,131.76546290561998,117.51453816249526,0.11433668711539112,NEUTRE ➡️
2025-12-16,129.5,131.5,129.5,130.6999969482422,62496,125.16000061035156,,-0.011450381679389277,0.19481532466527487,61.931805374213,132.09864884725528,118.22135237344786,0.11087644939384632,NEUTRE ➡️
2025-12-17,128.8000030517578,129.3000030517578,128.1999969482422,128.5,61334,125.58500061035156,,-0.005405381839707957,0.19643510691630933,55.15152664113981,132.30818169393285,118.86181952677028,0.10706981010321576,NEUTRE ➡️
2025-12-18,113.0,121.0,113.0,120.9000015258789,283633,125.23500061035156,,-0.12267082824065334,0.48953265143652125,28.88889427117519,133.68853349980878,116.78146772089434,0.13500272045766218,NEUTRE ➡️
2025-12-19,112.0,115.9000015258789,112.0,113.69999694824219,214866,124.81000061035157,,-0.008849557522123908,0.48935577120923857,26.875006258484717,134.9519203638807,114.66808085682241,0.16251774223111393,NEUTRE ➡️
2025-12-22,111.80000305175781,112.30000305175781,110.5,112.0,96970,124.2950008392334,,-0.0017856870378766265,0.4855476354991371,27.74194834507398,135.94958635625605,112.64041532221073,0.18753104209069557,NEUTRE ➡️
2025-12-23,112.0,112.0,110.5999984741211,111.80000305175781,73231,123.72500076293946,,0.0017888814202411396,0.4830341152567804,29.139078536015404,136.6136534392559,110.836348086623,0.20834354571573555,NEUTRE ➡️
2025-12-24,111.69999694824219,112.4000015258789,111.19999694824219,112.0,14683,123.04500045776368,,-0.002678598676409072,0.47745521439713606,30.136984153858705,136.9766348375245,109.11336607800287,0.22644779272511728,NEUTRE ➡️
2025-12-29,111.0,112.0999984741211,110.0999984741211,111.5,82289,122.24000053405761,,-0.006266758884215018,0.47178565213858054,29.53020855895089,137.01984529433744,107.46015577377779,0.24181683075438104,NEUTRE ➡️
2025-12-30,111.69999694824219,111.80000305175781,110.30000305175781,111.69999694824219,44386,121.51000022888184,,0.006306278812992616,0.4739030559619757,30.693058836237668,136.87611571334958,106.1438847444141,0.25291935569950486,NEUTRE ➡️
2025-12-31,111.4000015258789,111.4000015258789,110.5999984741211,111.0999984741211,55994,120.7400001525879,,-0.0026857245349997116,0.4726978954085113,30.392150996234662,136.5275908203999,104.95240948477588,0.2615138421046891,NEUTRE ➡️
2026-01-02,111.80000305175781,111.80000305175781,110.5,110.9000015258789,45909,120.05000038146973,,0.003590677921005092,0.47370013588596654,26.55172059992313,136.14648617965437,103.95351458328508,0.26816302785567026,NEUTRE ➡️
2026-01-05,111.5999984741211,113.19999694824219,111.19999694824219,112.0,78891,119.40000038146972,,-0.0017889496616929623,0.47375537192908235,11.885251411985081,135.77044943864252,103.02955132429695,0.2742118761284928,NEUTRE ➡️
2026-01-06,114.4000015258789,114.4000015258789,111.69999694824219,112.19999694824219,99858,118.95500030517579,,0.025089633423311497,0.48503852105100626,16.015619994140863,135.36289043191982,102.54711017843175,0.27586717808667216,NEUTRE ➡️
2026-01-07,115.5,117.19999694824219,114.4000015258789,114.9000015258789,80844,118.57000045776367,,0.009615371149031438,0.4871454415117573,20.07721302570664,134.91974444682754,102.2202564686998,0.27578213588500206,NEUTRE ➡️
2026-01-08,117.69999694824219,117.69999694824219,115.0999984741211,115.5,61259,118.28500022888184,,0.019047592625473397,0.49310678827626486,27.819535501650066,134.47821260543023,102.09178785233345,0.27379992974957895,NEUTRE ➡️
2026-01-09,116.19999694824219,117.0999984741211,115.19999694824219,117.0999984741211,49962,117.925,,-0.01274426541115048,0.4945380806738075,27.007283010504068,133.95876437861904,101.89123562138096,0.2719315561351544,NEUTRE ➡️
2026-01-12,114.5999984741211,115.9000015258789,113.9000015258789,115.9000015258789,67590,117.3849998474121,,-0.013769350397089597,0.4909250380959526,56.06060518487136,133.08270725459607,101.68729244022813,0.26745678626041325,NEUTRE ➡️
