Price,Close,High,Low,Open,Volume,MA20,MA50,Daily_Return,Volatility_20d,RSI_14,BB_Upper,BB_Lower,BB_Width,Trend_Signal
Ticker,MCO,MCO,MCO,MCO,MCO,,,,,,,,,
Date,,,,,,,,,,,,,,
2025-11-17,469.0493469238281,477.9113449669147,467.85716986380163,476.3614935655151,774600,,,,,,,,,NEUTRE ➡️
2025-11-18,467.1020812988281,470.2713359528247,463.3665266503098,465.8800703084011,680700,,,-0.004151515480771417,,,,,,NEUTRE ➡️
2025-11-19,469.7845153808594,471.35425607755604,465.00580193068856,467.47962764756517,695000,,,0.005742714899861889,,,,,,NEUTRE ➡️
2025-11-20,471.4337463378906,477.4046674475054,469.54610986023545,474.9209272613554,842500,,,0.003510611574104816,,,,,,NEUTRE ➡️
2025-11-21,477.4761962890625,481.20920110271504,471.4138001172033,474.04185008806473,707600,,,0.012817177383056988,,,,,,NEUTRE ➡️
2025-11-24,476.5802917480469,479.2979302490174,474.4898029303212,477.8246267134465,1519000,,,-0.001876333413013187,,,,,,NEUTRE ➡️
2025-11-25,483.46893310546875,485.14131197204216,478.34224885465204,479.3476812064797,473600,,,0.014454314365696996,,,,,,NEUTRE ➡️
2025-11-26,484.9223327636719,488.60554614418226,478.75041899843353,482.7522198099402,548200,,,0.0030061903851141825,,,,,,NEUTRE ➡️
2025-11-28,488.5557556152344,491.4824337965875,484.95216652399205,485.2906219789367,278600,,,0.007492793394057395,,,,,,NEUTRE ➡️
2025-12-01,485.03179931640625,491.77113685122123,483.58838900135186,485.55939612026094,1037000,,,-0.007213007437381291,,,,,,NEUTRE ➡️
2025-12-02,485.62908935546875,489.5910628005009,483.49880370339895,486.3358631058132,717700,,,0.0012314451132984239,,,,,,NEUTRE ➡️
2025-12-03,489.7801818847656,490.3276770900013,485.061643277929,485.65893010681253,545400,,,0.008547866304315255,,,,,,NEUTRE ➡️
2025-12-04,487.2616882324219,492.75666066328034,485.3503763029692,489.3820095566871,466000,,,-0.005142089748613632,,,,,,NEUTRE ➡️
2025-12-05,494.2498474121094,495.74304936803725,484.97207863491934,486.0869979013287,557100,,,0.014341696358352252,,,,,,NEUTRE ➡️
2025-12-08,484.9223327636719,492.35847995514337,482.0752784802092,491.8507815526633,496200,,,-0.018872063789754034,,65.17515471990534,,,,NEUTRE ➡️
2025-12-09,484.1657409667969,489.61095185706347,484.1159797211095,485.161208914712,619000,,,-0.001560232939908146,,66.69353673377017,,,,NEUTRE ➡️
2025-12-10,477.8146667480469,484.14585890799555,471.3142620436251,483.5286736201113,2442500,,,-0.013117562192789589,,57.32982718085284,,,,NEUTRE ➡️
2025-12-11,483.3096618652344,487.21187927932993,478.820091617475,480.3232579674123,663800,,,0.011500264641489233,,60.12906060413606,,,,NEUTRE ➡️
2025-12-12,484.39471435546875,487.2716009563737,481.806491589259,483.9567060236823,736500,,,0.0022450461388394682,,56.44595379962855,,,,NEUTRE ➡️
2025-12-15,485.2906188964844,487.77928873697914,483.93679708530505,487.77928873697914,1028200,481.5111770629883,,0.001849534097843497,,58.1153746856721,496.442098388712,466.58025573726457,0.06201692520117989,NEUTRE ➡️
2025-12-16,490.7657165527344,496.33037894277913,489.1928905034816,492.2489541288594,892800,482.5969955444336,,0.011282100751710322,0.1436405643585737,56.98229465685859,496.8554977948772,468.33849329399,0.05909072116936042,NEUTRE ➡️
2025-12-17,496.7583923339844,501.62624506278735,489.07337874807,489.4217985972091,1279300,484.0798110961914,,0.012210868809957143,0.14561549972105586,60.42065882904213,497.7077712313407,470.4518509610421,0.05630460028601063,NEUTRE ➡️
2025-12-18,495.4344482421875,503.27874057699603,495.0064043131778,499.6552226439541,1092600,485.3623077392578,,-0.0026651670353800005,0.1466636526221503,56.312830448881144,498.12617545207326,472.59844002644235,0.052595216024365656,NEUTRE ➡️
2025-12-19,500.8000183105469,502.9104359479954,496.3801684256379,496.4498280960329,1297100,486.83062133789065,,0.01083003026413798,0.1494731489716921,63.997915049086835,499.60437488669317,474.05686778908813,0.05247719838862289,NEUTRE ➡️
2025-12-22,507.3402404785156,510.1872946454914,497.7240163253699,499.29687271685714,540600,488.3238235473633,,0.013059548579954727,0.14968513977299835,67.4340859021391,503.287624473375,473.3600226213516,0.061286384994732185,NEUTRE ➡️
2025-12-23,513.0542602539062,513.5519942472625,505.9565686479612,506.56378953780535,568700,490.14752197265625,,0.011262697731213356,0.15117310785107213,68.2314962188492,507.7439588002144,472.5510851450981,0.071800574474963,NEUTRE ➡️
2025-12-24,514.9356689453125,516.4089420073669,511.19269988746044,513.6614408581546,294500,491.7208587646484,,0.0036670754677587958,0.145783569697557,71.89666404756305,512.1947456284718,471.2469719008251,0.08327442897281168,NEUTRE ➡️
2025-12-26,517.68310546875,518.519325239518,513.5718181760968,514.856010654114,347700,493.35889739990233,,0.005335494682403352,0.14597729325297737,69.87502866611828,516.5979756154381,470.11981918436646,0.09420759750360364,NEUTRE ➡️
2025-12-29,516.7076416015625,519.9827096003016,515.9212437181853,518.2904625286936,361200,494.76649169921876,,-0.001884287620907088,0.14621194186067374,81.40874512904671,520.096845211509,469.4361381869285,0.10239316500717781,NEUTRE ➡️
2025-12-30,513.41259765625,516.7075941560919,512.9745893258234,514.6569325996728,546800,496.18553161621094,,-0.00637699867394903,0.14547741831736513,77.51976627921869,522.3846352122707,469.98642802015115,0.10560204571351443,NEUTRE ➡️
2025-12-31,508.5348205566406,514.0695896820632,508.4651305074405,512.4868296283031,519200,497.33081817626953,,-0.009500696168883715,0.15194182462263014,79.73036352015953,523.5894497472723,471.0721866052667,0.10559824813308032,NEUTRE ➡️
2026-01-02,496.7186279296875,507.9176428023737,494.339444854684,507.40994440677815,753500,497.6777404785156,,-0.02323575918364673,0.17489980099999414,61.56228241036294,523.6986037423557,471.6568772146756,0.10456912635401795,NEUTRE ➡️
2026-01-05,524.4921875,530.6242436789682,497.7340026565028,500.2226726697853,1284400,499.53926544189454,,0.05591406886847006,0.26076718259668713,73.67747083551983,527.6644375896434,471.41409329414574,0.11260445011412339,NEUTRE ➡️
2026-01-06,530.4849243164062,531.7690561701394,521.8741017673279,524.1636660277597,789000,501.35101928710935,,0.011425788523125036,0.2594077443040042,75.17195451079525,532.5427085810229,470.15932999319574,0.12443054105391575,NEUTRE ➡️
2026-01-07,529.031494140625,537.5526974325473,528.8921140444256,532.854117833904,681700,503.55647735595704,,-0.0027398142890755484,0.24683144516647706,72.31254175061275,536.0668905092839,471.0460642026302,0.1291232051031515,NEUTRE ➡️
2026-01-08,528.7626953125,534.7056705833159,527.1600064910389,528.0857843958308,660300,505.7863250732422,,-0.0005080960795380562,0.2465182922531143,69.9962894871217,538.8104356441992,472.76221450228525,0.13058522515876556,NEUTRE ➡️
2026-01-09,529.20068359375,534.8350660161829,528.4740114586939,528.89209097051,654000,508.35562591552736,,0.000828326743041341,0.23810553680161142,71.3333240785301,540.1910705921943,476.52018123886046,0.12524871587417796,NEUTRE ➡️
2026-01-12,532.69482421875,533.809743503247,524.1138950334911,525.0794698165552,657100,510.82488403320315,,0.006602675947566139,0.23702578814104788,70.6390197181986,542.1374184333647,479.51234963304154,0.12259596342658317,NEUTRE ➡️
2026-01-13,532.475830078125,533.5011304708734,525.4079711870298,533.3916435785633,755800,513.2289398193359,,-0.00041110619189177466,0.23761907933388177,67.71434507446045,543.3580488814188,483.099830757253,0.1174100161720762,NEUTRE ➡️
2026-01-14,533.5509033203125,535.1337241269721,526.6025563298099,529.4894377473224,671100,515.6419540405274,,0.0020190085285745063,0.23759148161911678,65.45562325166537,544.029701334661,487.2542067463938,0.1101064297491296,NEUTRE ➡️
2026-01-15,537.1644287109375,544.4014999183522,533.8893611334199,535.8305357254484,701300,517.9618896484375,,0.006772597268860148,0.23651051168596343,66.33502875032518,545.3560981526238,490.5676811442512,0.10577692703522988,NEUTRE ➡️
2026-01-16,536.4776000976562,538.8468188096015,532.1672673833202,537.1545110498485,651900,519.947850036621,,-0.0012786189415584515,0.2356214635999306,64.24266587974753,546.6192030690929,493.2764970041491,0.10259241587629751,NEUTRE ➡️
2026-01-20,514.95556640625,532.1771500578523,511.96916250972214,526.4930668602616,950500,520.9239059448242,,-0.04011730161238525,0.28243365869687753,48.987545533293265,545.1332013338621,496.71461055578635,0.09294753077276545,NEUTRE ➡️
2026-01-21,522.4415283203125,528.1355761736405,516.3293401566149,517.7528521199469,611100,522.0059814453125,,0.01453710262092156,0.2842569995871023,54.976424805625754,544.2857433109135,499.72621957971154,0.08536209414272816,NEUTRE ➡️
2026-01-22,527.8369750976562,531.4206965734336,523.6460934450917,525.7962777237192,612400,523.0308181762696,,0.010327369638264638,0.2830442140782946,60.57829547237253,544.33440185853,501.72723449400917,0.08146205899125726,NEUTRE ➡️
2026-01-23,521.6649780273438,529.5391631650413,518.8677156501894,526.512901854385,590400,523.4613540649414,,-0.011692998712662384,0.2849452629301755,64.57308094115803,544.2580102101973,502.66469791968547,0.0794582292800009,NEUTRE ➡️
2026-01-26,523.038818359375,526.3338152535364,518.6388664852719,522.1727659957937,445600,523.8665115356446,,0.002633568266795283,0.28483979665790116,48.772301403820656,544.2759391072668,503.4570839640224,0.07791842815756522,NEUTRE ➡️
